Run,TS,TC,TT
1,0.000348,0.000664,0.16381876
2,0.000342,0.000650,0.16812228
3,0.000343,0.000720,0.16449383
4,0.000336,0.000764,0.16258104
5,0.000348,0.000976,0.17072579
6,0.000348,0.001004,0.18886111
7,0.000367,0.000648,0.18356500
8,0.000335,0.000855,0.17622152
9,0.000340,0.000702,0.16310192
10,0.000347,0.000662,0.16236662
11,0.000335,0.000751,0.16231974
12,0.000337,0.000656,0.16343891
13,0.000336,0.001023,0.17587710
14,0.000379,0.000989,0.18146390
15,0.000340,0.000680,0.16585474
16,0.000333,0.000827,0.16932702
17,0.000342,0.000859,0.16700654
18,0.000341,0.000980,0.16474169
19,0.000330,0.000937,0.16688801
20,0.000328,0.000657,0.16385184
21,0.000326,0.000920,0.16659913
22,0.000378,0.001187,0.16552957
23,0.000338,0.001176,0.16421722
24,0.000337,0.000730,0.16677950
25,0.000343,0.001083,0.16513460
26,0.000338,0.000871,0.16617211
27,0.000379,0.000783,0.17364784
28,0.000350,0.000684,0.16972553
29,0.000338,0.000855,0.17630541
30,0.000384,0.000956,0.17408886
Average,.00034553,.00084163,.16909423
