Run,TS,TC,TT
1,0.000342,0.018296,0.16506784
2,0.000338,0.000569,0.16541696
3,0.000352,0.000571,0.16670827
4,0.000347,0.000531,0.16311249
5,0.000395,0.000627,0.17338806
6,0.000407,0.000472,0.18272958
7,0.000331,0.000491,0.16692076
8,0.000339,0.000524,0.16580921
9,0.000336,0.000472,0.16624765
10,0.000504,0.000554,0.16591204
11,0.000360,0.000622,0.16644777
12,0.000341,0.000573,0.16703266
13,0.000338,0.000565,0.16545760
14,0.000380,0.000739,0.16638503
15,0.000341,0.000538,0.18492683
16,0.000334,0.000538,0.16456648
17,0.000354,0.000503,0.16654457
18,0.000332,0.000505,0.16427974
19,0.000342,0.000525,0.16894321
20,0.000340,0.000523,0.16889671
21,0.000341,0.000577,0.16417866
22,0.000338,0.000531,0.16604558
23,0.000332,0.000531,0.16347760
24,0.000489,0.000711,0.16767811
25,0.000334,0.000605,0.16602015
26,0.000330,0.000486,0.17053031
27,0.000371,0.000629,0.18611987
28,0.000338,0.000577,0.16614841
29,0.000335,0.000633,0.16911991
30,0.000340,0.000619,0.16905149
Average,.00035670,.00115456,.16843878
