Run,TS,TC,TT
1,0.001064,0.001862,1.59508584
2,0.001021,0.003273,1.44730561
3,0.001026,0.002483,0.67087651
4,0.000545,0.000964,1.43932150
5,0.001029,0.002247,0.66642407
6,0.001027,0.002172,1.04714620
7,0.001097,0.002572,1.06250521
8,0.001051,0.001995,0.66690774
9,0.000540,0.001258,0.67320987
10,0.001018,0.002270,1.43481940
11,0.001069,0.001908,1.44639559
12,0.001053,0.001959,0.68173583
13,0.001082,0.001930,1.18468443
14,0.001075,0.002510,1.45038159
15,0.001031,0.001792,1.45099773
16,0.001029,0.002208,1.44292533
17,0.000547,0.000900,1.44674151
18,0.001020,0.002138,1.44032561
19,0.001082,0.002137,0.66367542
20,0.001028,0.001974,0.66363632
21,0.000540,0.000937,1.06206793
22,0.000551,0.001371,1.43492620
23,0.001023,0.002529,1.43886623
24,0.001077,0.001686,0.68779240
25,0.001085,0.001907,1.48243154
26,0.001056,0.001956,1.07722160
27,0.001036,0.001957,0.68634869
28,0.001036,0.002089,1.45701295
29,0.000552,0.000872,0.66829537
30,0.001107,0.003032,1.45960058
Average,.00094990,.00196293,1.13432216
